Lizard,Lat_UTM,Long_UTM
YBG,363808.6885,6244418.314
YBG,363809.0424,6244393.672
YBW,363556.1371,6244300.689
YBW,363561.8926,6244257.639
YBW,363559.5023,6244245.281
YBW,363554.4559,6244239.047
YBW,363600.7159,6244236.631
YBW,363603.2834,6244236.668
YBW,363562.4687,6244217.595
YBW,363534.2701,6244214.109
YBW,363575.3506,6244214.7
YDbW,363524.7945,6244337.21
YDbW,363519.7481,6244330.975
YDbW,363532.7188,6244321.919
YDbW,363543.1664,6244309.746
YDbW,363545.7782,6244306.702
YDbW,363535.5523,6244303.474
YDbW,363558.6603,6244303.807
YDbW,363553.5695,6244300.653
YDbW,363566.5846,6244288.516
YDbW,363574.8632,6244248.583
YDbY,363635.0682,6244169.344
YDbY,363573.4478,6244168.458
YDbY,363558.0426,6244168.237
YDbY,363593.9879,6244168.754
YDbY,363583.8065,6244162.445
YDbY,363625.0196,6244153.795
YDbY,363622.4964,6244150.678
YDbY,363632.8551,6244144.665
YDbY,363632.8551,6244144.665
YGB,363826.6616,6244418.572
YGB,363834.4528,6244412.522
YGB,363819.2243,6244399.98
YGB,363801.2512,6244399.722
YGB,363839.8533,6244394.114
YGB,363829.6715,6244387.806
YGB,363824.5805,6244384.652
YGB,363822.013,6244384.615
YGB,363804.0842,6244381.277
YGB,363824.6248,6244381.572
YGB,363773.2733,6244380.834
YGB,363860.8361,6244363.606
YGB,363858.3128,6244360.489
YGB,363807.1825,6244344.35
YGW,363530.0183,6244331.123
YGW,363828.696,6244276.878
YGW,363826.1285,6244276.841
YGW,363834.0522,6244261.55
YGW,363877.7005,6244262.177
YGW,363836.6198,6244261.587
YGW,363834.0522,6244261.55
YGW,363836.6198,6244261.587
YGW,363836.6198,6244261.587
YGW,363839.1873,6244261.624
YGW,363836.6198,6244261.587
YGW,363844.3224,6244261.698
YGW,363836.6198,6244261.587
YGW,363798.1951,6244254.874
YGW,363808.5537,6244248.861
YGW,363795.716,6244248.676
YGW,363813.6888,6244248.934
YGW,363829.094,6244249.156
YGW,363808.598,6244245.78
YGW,363793.1927,6244245.559
YGW,363867.6956,6244243.548
YGW,363867.6956,6244243.548
YGW,363795.8045,6244242.516
YGW,363800.9838,6244239.509
YGW,363777.876,6244239.177
YWB,363813.1603,6244464.592
YWB,363803.0226,6244455.204
YWB,363800.5435,6244449.006
YWB,363810.8581,6244446.073
YWB,363811.1677,6244424.511
YWB,363808.6443,6244421.394
YWB,363800.9858,6244418.203
YWB,363798.4182,6244418.166
YWB,363803.5534,6244418.24
YWB,363808.6885,6244418.314
YWG,363522.9805,6244284.808
YWG,363523.0248,6244281.727
YWG,363536.0399,6244269.591
YWG,363528.3372,6244269.48
YWG,363512.9319,6244269.258
YWG,363528.3815,6244266.4
YWY,363894.8334,6244320.961
YWY,363746.1805,6244300.341
YWY,363759.1067,6244294.364
YWY,363769.5982,6244279.111
YWY,363759.3722,6244275.883
YWY,363759.4165,6244272.802
YWY,363754.2814,6244272.729
YWY,363797.9739,6244270.275
YWY,363780.0011,6244270.017
YWY,363756.9374,6244266.605
YWY,363780.0896,6244263.857
YWY,363767.2519,6244263.672
YWY,363767.3403,6244257.512
YWY,363769.9079,6244257.548
